Starting Program 3 (FAST)...
FAST : WINDOW SIZE: [5] Load: 3.3% | Temp: 39.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
FAST : WINDOW SIZE: [5] Load: 3.3% | Temp: 39.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 3.3% | Temp: 39.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 12.4% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 15.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 4.0% | Temp: 38.9°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 5.7% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 5.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 3.3% | Temp: 40.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 3.3% | Temp: 38.9°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.1% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.1% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.1% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.1% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 5.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 5.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 3.3% | Temp: 39.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 14.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 5.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 3.3% | Temp: 38.9°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 38.5°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 14.0% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.1% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 5.7% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 5.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.4% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.4% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 3.3% | Temp: 38.9°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 12.4% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 5.7% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 4.0% | Temp: 39.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 12.0% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 14.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 14.0% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 14.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 12.0% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 40.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 12.0% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 14.0% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 3.3% | Temp: 39.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.1% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 3.3% | Temp: 39.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 5.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 5.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.3% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.1% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.4% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.4% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 11.4% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 9.1% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 13.1% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 40.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 38.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 10.0% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 6.7% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 7.3% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 39.9°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 8.0% | Temp: 39.4°C | Status: OK
FAST : WINDOW SIZE: [5] Load: 12.0% | Temp: 39.9°C | Status: OK
